campaign,channel,region,week,impressions,clicks,qualified_leads,closed_won,spend
Brand Awareness,Q1 Paid Search,North America,2024-W01,820000,56200,4100,320,185000
Brand Awareness,Q1 Paid Social,North America,2024-W01,640000,48800,3600,210,142500
Product Launch,Display,Europe,2024-W01,410000,24600,1900,160,98500
Product Launch,Email,Europe,2024-W01,92000,13800,2200,190,26500
Account-Based,Events,North America,2024-W01,18000,5200,880,140,79500
Brand Awareness,Q1 Paid Search,North America,2024-W02,845000,57450,4250,335,189200
Brand Awareness,Q1 Paid Social,North America,2024-W02,655000,49520,3680,225,145120
Product Launch,Display,Europe,2024-W02,425000,25180,1960,172,100800
Product Launch,Email,Europe,2024-W02,94000,13960,2280,195,27240
Account-Based,Events,North America,2024-W02,18600,5330,910,148,80460
Brand Awareness,Q1 Paid Search,North America,2024-W03,872000,58800,4390,348,192600
Brand Awareness,Q1 Paid Social,North America,2024-W03,668000,50140,3740,232,147380
Product Launch,Display,Europe,2024-W03,438000,25920,2025,178,102400
Product Launch,Email,Europe,2024-W03,95200,14105,2340,202,27980
Account-Based,Events,North America,2024-W03,19120,5485,942,154,81520
Brand Awareness,Q1 Paid Search,North America,2024-W04,899500,60340,4520,361,196800
Brand Awareness,Q1 Paid Social,North America,2024-W04,682000,50980,3825,240,149900
Product Launch,Display,Europe,2024-W04,452000,26700,2085,186,104200
Product Launch,Email,Europe,2024-W04,96800,14240,2405,208,28640
Account-Based,Events,North America,2024-W04,19840,5640,975,162,82900
